dxcc_number,prefix,continent,itu_zone,cq_zone,entity_name
1,"    VA-VG,VO,VY#*", NA, (H), 01-05, Canada
3,"    YA,T6", AS,40,21, Afghanistan
4,"    3B6,7", AF,53,39, Agalega & St. Brandon Is.
5,    OH0*, EU,18,15, Aland Is.
6,"    KL,AL,NL,WL#*", NA,"1,02",1, Alaska
7,    ZA, EU,28,15, Albania
9,    KH8#*, OC,62,32, American Samoa
10,    FT/Z*, AF,68,39, Amsterdam & St. Paul Is.
11,    VU4*, AS,49,26, Andaman & Nicobar Is.
12,    VP2E(37), NA,11,8, Anguilla
13,    CE9/KC4^*, AN, (B), (C), Antarctica
14,    EK*, AS,29,21, Armenia
15,"    UA-UI8-0,RA-RZ*", AS, (F), (G), Asiatic Russia
16,    ZL9*, OC,60,32, New Zealand Subantarctic Islands
17,    YV0#*, NA,11,8, Aves I.
18,"    4J,4K", AS,29,21, Azerbaijan
20,    KH1#, OC,61,31, Baker & Howland Is.
21,    EA6-EH6*, EU,37,14, Balearic Is.
22,"    T8,(21)", OC,64,27, Palau
24,    3Y*, AF,67,38, Bouvet
27,    EU-EW*, EU,29,16, Belarus
29,    EA8-EH8*, AF,36,33, Canary Is.
31,    T31, OC,62,31, C. Kiribati (British Phoenix Is.)
32,    EA9-EH9*, AF,37,33, Ceuta & Melilla
33,    VQ9*, AF,41,39, Chagos Is.
34,    ZL7*, OC,60,32, Chatham Is.
35,    VK9X#*, OC,54,29, Christmas I.
36,"    FO,TX*", NA,10,7, Clipperton I.
37,    TI9#*, NA,12,7, Cocos I.
38,    VK9C#*, OC,54,29, Cocos (Keeling) Is.
40,"    SV9,J49*", EU,28,20, Crete
41,    FT/W*, AF,68,39, Crozet I.
43,    KP5(22)#, NA,11,8, Desecheo I.
45,"    SV5,J45*", EU,28,20, Dodecanese
46,"    9M6,8(8)*", OC,54,28, East Malaysia
47,    CE0#*, SA,63,12, Easter I.
48,    T32, OC,"61,63",31, E. Kiribati (Line Is.)
49,    3C, AF,47,36, Equatorial Guinea
50,    XA-XI#*, NA,10,6, Mexico
51,    E3(15), AF,48,37, Eritrea
52,    ES*, EU,29,15, Estonia
53,    ET*, AF,48,37, Ethiopia
54,"    UA-UI1-7,RA-RZ*", EU, (E),16, European Russia
56,    PP0-PY0F#*, SA,13,11, Fernando de Noronha
60,    C6, NA,11,8, Bahamas
61,    R1/F*, EU,75,40, Franz Josef Land
62,    8P*, NA,11,8, Barbados
63,    FY*, SA,12,9, French Guiana
64,    VP9*, NA,11,5, Bermuda
65,    VP2V(37)*, NA,11,8, British Virgin Is.
66,    V3#, NA,11,7, Belize
69,    ZF*, NA,11,8, Cayman Is.
70,"    CM,CO#*", NA,11,8, Cuba
71,"    HC8,HD8#*", SA,12,10, Galapagos Is.
72,    HI#*, NA,11,8, Dominican Republic
74,"    YS,HU#*", NA,11,7, El Salvador
75,    4L*, AS,29,21, Georgia
76,"    TG,TD#*", NA,12,7, Guatemala
